BTC bought at 29886.74 on 2023-08-01 20:15:31.545015
XTZ sold at 0.84875 on 2023-08-01 20:15:40.406882
BTC bought at 29886.74 on 2023-08-01 20:19:03.265445
BTC bought at 29886.74 on 2023-08-01 20:19:57.520440
AVAX bought at 12.92 on 2023-08-01 20:20:03.609478
BTC bought at 29915.895 on 2023-08-01 20:21:19.875088
SHIB bought at 8.45e-06 on 2023-08-01 20:21:22.022459
AVAX bought at 12.92 on 2023-08-01 20:21:26.352978
BTC bought at 29915.895 on 2023-08-01 20:23:01.065399
SHIB bought at 8.45e-06 on 2023-08-01 20:23:03.061625
AVAX bought at 12.92 on 2023-08-01 20:23:07.336282
BTC bought at 29912.225 on 2023-08-01 20:25:19.858903
DOGE bought at 0.078025 on 2023-08-01 20:25:22.580492
SHIB bought at 8.44e-06 on 2023-08-01 20:25:23.827526
LINK bought at 7.6625 on 2023-08-01 20:25:26.858641
AVAX bought at 12.9135 on 2023-08-01 20:25:28.211069
BTC sold at 29973.43 on 2023-08-01 20:32:07.567527
BTC bought at 29973.43 on 2023-08-01 20:32:08.134682, quantity: 3e-05, purchased usd: 1.0, quantity: 3e-05, worth usd: $0.8992029, buy_points: 1
DOGE bought at 0.078115 on 2023-08-01 20:32:10.919546, quantity: 12.97, purchased usd: 1.0, quantity: 12.97, worth usd: $1.0131515500000001, buy_points: 1
SHIB bought at 8.445e-06 on 2023-08-01 20:32:12.075463, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
LINK bought at 7.677 on 2023-08-01 20:32:15.787247, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
AVAX bought at 12.939 on 2023-08-01 20:32:18.149984, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
DOGE bought at 0.078025 on 2023-08-01 20:41:23.464076, quantity: 12.97, purchased usd: 1.0, quantity: 12.97, worth usd: $1.01198425, buy_points: 1
SHIB bought at 8.445e-06 on 2023-08-01 20:41:25.223465, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
LTC bought at 93.52 on 2023-08-01 20:41:29.149414, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
LINK bought at 7.6835 on 2023-08-01 20:41:30.814555, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
XTZ sold at 0.85315 on 2023-08-01 20:41:35.981375
XTZ bought at 0.85315 on 2023-08-01 20:41:36.588969, quantity: 2.393, purchased usd: 1.0, quantity: 2.393, worth usd: $2.04158795, buy_points: 1
DOGE bought at 0.078025 on 2023-08-01 20:43:45.062073, quantity: 12.97, purchased usd: 5.0, quantity: 12.97, worth usd: $1.01198425, buy_points: 1
SHIB bought at 8.445e-06 on 2023-08-01 20:43:46.655236, quantity: 0.0, purchased usd: 5.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
LTC bought at 93.52 on 2023-08-01 20:43:50.066776, quantity: 0.0, purchased usd: 5.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
LINK bought at 7.6835 on 2023-08-01 20:43:51.588142, quantity: 0.0, purchased usd: 5.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
XTZ sold at 0.85315 on 2023-08-01 20:43:56.149012
XTZ bought at 0.85315 on 2023-08-01 20:43:56.670561, quantity: 2.393, purchased usd: 5.0, quantity: 2.393, worth usd: $2.04158795, buy_points: 1
DOGE bought at 0.077995 on 2023-08-01 20:47:23.671229, quantity: 12.97, purchased usd: 5.0, quantity: 12.97, worth usd: $1.01159515, buy_points: 1
SHIB bought at 8.45e-06 on 2023-08-01 20:47:25.052265, quantity: 0.0, purchased usd: 5.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
LTC bought at 93.49 on 2023-08-01 20:47:28.935569, quantity: 0.0, purchased usd: 5.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
LINK bought at 7.683 on 2023-08-01 20:47:30.738629, quantity: 0.0, purchased usd: 5.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
XTZ bought at 0.8522 on 2023-08-01 20:47:35.534185, quantity: 2.393, purchased usd: 5.0, quantity: 2.393, worth usd: $2.0393145999999995, buy_points: 1
DOGE bought at 0.077995 on 2023-08-01 20:49:36.598851, quantity: 12.97, purchased usd: 3.0, quantity: 12.97, worth usd: $1.01159515, buy_points: 1
SHIB bought at 8.45e-06 on 2023-08-01 20:49:38.336585, quantity: 0.0, purchased usd: 3.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
LTC bought at 93.49 on 2023-08-01 20:49:42.764172, quantity: 0.0, purchased usd: 3.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
LINK bought at 7.683 on 2023-08-01 20:49:44.647064, quantity: 0.0, purchased usd: 3.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
XTZ bought at 0.8522 on 2023-08-01 20:49:49.147586, quantity: 2.393, purchased usd: 3.0, quantity: 2.393, worth usd: $2.0393145999999995, buy_points: 1
LTC bought at 93.435 on 2023-08-01 20:55:46.966901, quantity: 0.0, purchased usd: 5.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
LINK bought at 7.712 on 2023-08-01 20:55:48.508430, quantity: 0.0, purchased usd: 5.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
XTZ bought at 0.8521 on 2023-08-01 20:55:51.806295, quantity: 2.393, purchased usd: 5.0, quantity: 2.393, worth usd: $2.0390753, buy_points: 1
XTZ bought at 0.8566 on 2023-08-01 21:24:28.965769, quantity: 2.393, purchased usd: 5.0, quantity: 2.393, worth usd: $2.0498438, buy_points: 1
UNI bought at 6.6705 on 2023-08-01 21:53:04.589603, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
COMP bought at 65.89 on 2023-08-01 21:53:08.454090, quantity: 0.012, purchased usd: 1.0, quantity: 0.012, worth usd: $0.79068, buy_points: 1
UNI bought at 6.6485 on 2023-08-01 22:12:52.357636, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
LTC bought at 92.75 on 2023-08-01 22:12:54.795315, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
COMP bought at 66.8833525 on 2023-08-01 22:12:57.121526, quantity: 0.012, purchased usd: 1.0, quantity: 0.012, worth usd: $0.80260023, buy_points: 1
UNI bought at 6.6485 on 2023-08-01 22:14:26.590872, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
LTC bought at 92.75 on 2023-08-01 22:14:29.220846, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
COMP bought at 66.8833525 on 2023-08-01 22:14:31.351229, quantity: 0.012, purchased usd: 1.0, quantity: 0.012, worth usd: $0.80260023, buy_points: 1
UNI bought at 6.6465 on 2023-08-01 22:16:42.927641, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
LTC bought at 92.75 on 2023-08-01 22:16:45.770634, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
COMP bought at 66.6285075 on 2023-08-01 22:16:48.389191, quantity: 0.012, purchased usd: 1.0, quantity: 0.012, worth usd: $0.79954209, buy_points: 1
XLM bought at 0.15152245 on 2023-08-01 22:16:50.356567, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
UNI bought at 6.6465 on 2023-08-01 22:18:24.688657, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
LTC bought at 92.75 on 2023-08-01 22:18:27.868699, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
COMP bought at 66.6285075 on 2023-08-01 22:18:30.240486, quantity: 0.012, purchased usd: 1.0, quantity: 0.012, worth usd: $0.79954209, buy_points: 1
XLM bought at 0.15152245 on 2023-08-01 22:18:33.078895, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
UNI bought at 6.655 on 2023-08-01 22:23:56.398868, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
LTC bought at 92.86 on 2023-08-01 22:23:59.529889, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
COMP bought at 66.288866 on 2023-08-01 22:24:02.049148, quantity: 0.012, purchased usd: 1.0, quantity: 0.012, worth usd: $0.795466392, buy_points: 1
XLM bought at 0.15168 on 2023-08-01 22:24:04.441761, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
LTC bought at 92.89 on 2023-08-01 22:27:31.956184, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
COMP bought at 66.460469 on 2023-08-01 22:27:34.042095, quantity: 0.012, purchased usd: 1.0, quantity: 0.012, worth usd: $0.797525628, buy_points: 1
XLM bought at 0.151805 on 2023-08-01 22:27:36.265356, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
ETH bought at 1840.86 on 2023-08-02 11:39:10.971396, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
DOGE bought at 0.07519788 on 2023-08-02 11:39:13.586050, quantity: 25.86, purchased usd: 1.0, quantity: 25.86, worth usd: $1.9446171767999998, buy_points: 1
ETC bought at 18.1325 on 2023-08-02 11:39:16.729782, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
AAVE bought at 64.718556 on 2023-08-02 11:39:19.686056, quantity: 0.04, purchased usd: 1.0, quantity: 0.04, worth usd: $2.58874224, buy_points: 1
LINK bought at 7.4735 on 2023-08-02 11:39:21.486696, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
COMP bought at 63.620112 on 2023-08-02 11:39:22.961225, quantity: 0.012, purchased usd: 1.0, quantity: 0.012, worth usd: $0.763441344, buy_points: 1
AVAX bought at 12.6075 on 2023-08-02 11:39:24.306407, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
XLM bought at 0.14632096 on 2023-08-02 11:39:25.675721, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
XTZ bought at 0.8418 on 2023-08-02 11:39:28.127109, quantity: 4.713, purchased usd: 1.0, quantity: 4.713, worth usd: $3.9674034000000002, buy_points: 1
BTC bought at 29332.075 on 2023-08-02 11:53:48.883781, quantity: 3e-05, purchased usd: 1.0, quantity: 3e-05, worth usd: $0.8799622500000001, buy_points: 1
ETH bought at 1845.03 on 2023-08-02 11:53:50.143433, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
DOGE bought at 0.07541 on 2023-08-02 11:53:53.232183, quantity: 25.86, purchased usd: 1.0, quantity: 25.86, worth usd: $1.9501026000000001, buy_points: 1
SHIB bought at 8.23e-06 on 2023-08-02 11:53:54.780427, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
ETC bought at 18.1405 on 2023-08-02 11:53:56.158126, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
